cline,p,att,rep,group,Exp,dose,ncells,scene,ncolonies,pe,token,group_id
GBM1a,17,3,r03,CTRL,r01,4,1000,1,23,0.023,GBM1a_CTRL_4,1
GBM1a,17,3,r03,FBS,r01,4,1000,2,16,0.016,GBM1a_FBS_4,2
GBM1a,17,3,r03,B100,r01,4,1000,3,3,0.003,GBM1a_B100_4,6
GBM1a,17,3,r03,E100,r01,4,1000,4,30,0.03,GBM1a_E100_4,4
GBM1a,17,3,r03,S100,r01,4,1000,5,8,0.008,GBM1a_S100_4,8
GBM1a,17,3,r03,S100,r02,4,1000,6,5,0.005,GBM1a_S100_4,8
GBM1a,17,3,r03,E100,r02,4,1000,7,22,0.022,GBM1a_E100_4,4
GBM1a,17,3,r03,B100,r02,4,1000,8,3,0.003,GBM1a_B100_4,6
GBM1a,17,3,r03,FBS,r02,4,1000,9,15,0.015,GBM1a_FBS_4,2
GBM1a,17,3,r03,CTRL,r02,4,1000,10,8,0.008,GBM1a_CTRL_4,1
GBM1a,17,3,r03,CTRL,r03,4,1000,11,9,0.009,GBM1a_CTRL_4,1
GBM1a,17,3,r03,FBS,r03,4,1000,12,12,0.012,GBM1a_FBS_4,2
GBM1a,17,3,r03,B100,r03,4,1000,13,5,0.005,GBM1a_B100_4,6
GBM1a,17,3,r03,E100,r03,4,1000,14,9,0.009,GBM1a_E100_4,4
GBM1a,17,3,r03,S100,r03,4,1000,15,2,0.002,GBM1a_S100_4,8
GBM1a,17,3,r03,S100,r04,4,1000,16,1,0.001,GBM1a_S100_4,8
GBM1a,17,3,r03,E100,r04,4,1000,17,22,0.022,GBM1a_E100_4,4
GBM1a,17,3,r03,B100,r04,4,1000,18,6,0.006,GBM1a_B100_4,6
GBM1a,17,3,r03,FBS,r04,4,1000,19,15,0.015,GBM1a_FBS_4,2
GBM1a,17,3,r03,CTRL,r04,4,1000,20,12,0.012,GBM1a_CTRL_4,1
GBM1a,17,3,r03,CTRL,r05,4,1000,21,9,0.009,GBM1a_CTRL_4,1
GBM1a,17,3,r03,FBS,r05,4,1000,22,9,0.009,GBM1a_FBS_4,2
GBM1a,17,3,r03,B100,r05,4,1000,23,2,0.002,GBM1a_B100_4,6
GBM1a,17,3,r03,E100,r05,4,1000,24,16,0.016,GBM1a_E100_4,4
GBM1a,17,3,r03,S100,r05,4,1000,25,2,0.002,GBM1a_S100_4,8
GBM1a,17,3,r03,S100,r06,4,1000,26,1,0.001,GBM1a_S100_4,8
GBM1a,17,3,r03,E100,r06,4,1000,27,11,0.011,GBM1a_E100_4,4
GBM1a,17,3,r03,B100,r06,4,1000,28,6,0.006,GBM1a_B100_4,6
GBM1a,17,3,r03,FBS,r06,4,1000,29,16,0.016,GBM1a_FBS_4,2
GBM1a,17,3,r03,CTRL,r06,4,1000,30,6,0.006,GBM1a_CTRL_4,1
GBM1a,17,3,r03,CTRL,r01,6,2000,1,3,0.0015,GBM1a_CTRL_6,1
GBM1a,17,3,r03,FBS,r01,6,2000,2,12,0.006,GBM1a_FBS_6,2
GBM1a,17,3,r03,B100,r01,6,2000,3,0,0,GBM1a_B100_6,6
GBM1a,17,3,r03,E100,r01,6,2000,4,10,0.005,GBM1a_E100_6,4
GBM1a,17,3,r03,S100,r01,6,2000,5,1,0.0005,GBM1a_S100_6,8
GBM1a,17,3,r03,S100,r02,6,2000,6,1,0.0005,GBM1a_S100_6,8
GBM1a,17,3,r03,E100,r02,6,2000,7,6,0.003,GBM1a_E100_6,4
GBM1a,17,3,r03,B100,r02,6,2000,8,1,0.0005,GBM1a_B100_6,6
GBM1a,17,3,r03,FBS,r02,6,2000,9,9,0.0045,GBM1a_FBS_6,2
GBM1a,17,3,r03,CTRL,r02,6,2000,10,7,0.0035,GBM1a_CTRL_6,1
GBM1a,17,3,r03,CTRL,r03,6,2000,11,6,0.003,GBM1a_CTRL_6,1
GBM1a,17,3,r03,FBS,r03,6,2000,12,4,0.002,GBM1a_FBS_6,2
GBM1a,17,3,r03,B100,r03,6,2000,13,1,0.0005,GBM1a_B100_6,6
GBM1a,17,3,r03,E100,r03,6,2000,14,5,0.0025,GBM1a_E100_6,4
GBM1a,17,3,r03,S100,r03,6,2000,15,1,0.0005,GBM1a_S100_6,8
GBM1a,17,3,r03,S100,r04,6,2000,16,1,0.0005,GBM1a_S100_6,8
GBM1a,17,3,r03,E100,r04,6,2000,17,9,0.0045,GBM1a_E100_6,4
GBM1a,17,3,r03,B100,r04,6,2000,18,1,0.0005,GBM1a_B100_6,6
GBM1a,17,3,r03,FBS,r04,6,2000,19,2,0.001,GBM1a_FBS_6,2
GBM1a,17,3,r03,CTRL,r04,6,2000,20,5,0.0025,GBM1a_CTRL_6,1
GBM1a,17,3,r03,CTRL,r05,6,2000,21,2,0.001,GBM1a_CTRL_6,1
GBM1a,17,3,r03,FBS,r05,6,2000,22,2,0.001,GBM1a_FBS_6,2
GBM1a,17,3,r03,B100,r05,6,2000,23,0,0,GBM1a_B100_6,6
GBM1a,17,3,r03,E100,r05,6,2000,24,7,0.0035,GBM1a_E100_6,4
GBM1a,17,3,r03,S100,r05,6,2000,25,2,0.001,GBM1a_S100_6,8
GBM1a,17,3,r03,S100,r06,6,2000,26,0,0,GBM1a_S100_6,8
GBM1a,17,3,r03,E100,r06,6,2000,27,10,0.005,GBM1a_E100_6,4
GBM1a,17,3,r03,B100,r06,6,2000,28,1,0.0005,GBM1a_B100_6,6
GBM1a,17,3,r03,FBS,r06,6,2000,29,8,0.004,GBM1a_FBS_6,2
GBM1a,17,3,r03,CTRL,r06,6,2000,30,6,0.003,GBM1a_CTRL_6,1
GBM1a,16,10,r10,CTRL,r01,0,200,1,67,0.335,GBM1a_CTRL_0,1
GBM1a,16,10,r10,FBS,r01,0,200,2,44,0.22,GBM1a_FBS_0,2
GBM1a,16,10,r10,E20,r01,0,200,3,62,0.31,GBM1a_E20_0,3
GBM1a,16,10,r10,E100,r01,0,200,4,45,0.225,GBM1a_E100_0,4
GBM1a,16,10,r10,B20,r01,0,200,5,46,0.23,GBM1a_B20_0,5
GBM1a,16,10,r10,B100,r01,0,200,6,44,0.22,GBM1a_B100_0,6
GBM1a,16,10,r10,S20,r01,0,200,7,49,0.245,GBM1a_S20_0,7
GBM1a,16,10,r10,S100,r01,0,200,8,21,0.105,GBM1a_S100_0,8
GBM1a,16,10,r10,S100,r02,0,200,9,34,0.17,GBM1a_S100_0,8
GBM1a,16,10,r10,S20,r02,0,200,10,55,0.275,GBM1a_S20_0,7
GBM1a,16,10,r10,B100,r02,0,200,11,53,0.265,GBM1a_B100_0,6
GBM1a,16,10,r10,B20,r02,0,200,12,40,0.2,GBM1a_B20_0,5
GBM1a,16,10,r10,E100,r02,0,200,13,59,0.295,GBM1a_E100_0,4
GBM1a,16,10,r10,E20,r02,0,200,14,66,0.33,GBM1a_E20_0,3
GBM1a,16,10,r10,FBS,r02,0,200,15,52,0.26,GBM1a_FBS_0,2
GBM1a,16,10,r10,CTRL,r02,0,200,16,68,0.34,GBM1a_CTRL_0,1
GBM1a,16,10,r10,CTRL,r03,0,200,17,54,0.27,GBM1a_CTRL_0,1
GBM1a,16,10,r10,FBS,r03,0,200,18,62,0.31,GBM1a_FBS_0,2
GBM1a,16,10,r10,E20,r03,0,200,19,59,0.295,GBM1a_E20_0,3
GBM1a,16,10,r10,E100,r03,0,200,20,59,0.295,GBM1a_E100_0,4
GBM1a,16,10,r10,B20,r03,0,200,21,40,0.2,GBM1a_B20_0,5
GBM1a,16,10,r10,B100,r03,0,200,22,54,0.27,GBM1a_B100_0,6
GBM1a,16,10,r10,S20,r03,0,200,23,53,0.265,GBM1a_S20_0,7
GBM1a,16,10,r10,S100,r03,0,200,24,25,0.125,GBM1a_S100_0,8
GBM1a,16,10,r10,S100,r04,0,200,25,22,0.11,GBM1a_S100_0,8
GBM1a,16,10,r10,S20,r04,0,200,26,49,0.245,GBM1a_S20_0,7
GBM1a,16,10,r10,B100,r04,0,200,27,60,0.3,GBM1a_B100_0,6
GBM1a,16,10,r10,B20,r04,0,200,28,40,0.2,GBM1a_B20_0,5
GBM1a,16,10,r10,E100,r04,0,200,29,71,0.355,GBM1a_E100_0,4
GBM1a,16,10,r10,E20,r04,0,200,30,60,0.3,GBM1a_E20_0,3
GBM1a,16,10,r10,FBS,r04,0,200,31,48,0.24,GBM1a_FBS_0,2
GBM1a,16,10,r10,CTRL,r04,0,200,32,58,0.29,GBM1a_CTRL_0,1
GBM1a,16,10,r10,CTRL,r05,0,200,33,72,0.36,GBM1a_CTRL_0,1
GBM1a,16,10,r10,FBS,r05,0,200,34,56,0.28,GBM1a_FBS_0,2
GBM1a,16,10,r10,E20,r05,0,200,35,67,0.335,GBM1a_E20_0,3
GBM1a,16,10,r10,E100,r05,0,200,36,77,0.385,GBM1a_E100_0,4
GBM1a,16,10,r10,B20,r05,0,200,37,45,0.225,GBM1a_B20_0,5
GBM1a,16,10,r10,B100,r05,0,200,38,47,0.235,GBM1a_B100_0,6
GBM1a,16,10,r10,S20,r05,0,200,39,49,0.245,GBM1a_S20_0,7
GBM1a,16,10,r10,S100,r05,0,200,40,38,0.19,GBM1a_S100_0,8
GBM1a,16,10,r10,S100,r06,0,200,41,34,0.17,GBM1a_S100_0,8
GBM1a,16,10,r10,S20,r06,0,200,42,43,0.215,GBM1a_S20_0,7
GBM1a,16,10,r10,B100,r06,0,200,43,48,0.24,GBM1a_B100_0,6
GBM1a,16,10,r10,B20,r06,0,200,44,45,0.225,GBM1a_B20_0,5
GBM1a,16,10,r10,E100,r06,0,200,45,58,0.29,GBM1a_E100_0,4
GBM1a,16,10,r10,E20,r06,0,200,46,64,0.32,GBM1a_E20_0,3
GBM1a,16,10,r10,FBS,r06,0,200,47,53,0.265,GBM1a_FBS_0,2
GBM1a,16,10,r10,CTRL,r06,0,200,48,65,0.325,GBM1a_CTRL_0,1
GBM1a,16,10,r10,CTRL,r01,2,200,1,29,0.145,GBM1a_CTRL_2,1
GBM1a,16,10,r10,FBS,r01,2,200,2,44,0.22,GBM1a_FBS_2,2
GBM1a,16,10,r10,E20,r01,2,200,3,36,0.18,GBM1a_E20_2,3
GBM1a,16,10,r10,E100,r01,2,200,4,41,0.205,GBM1a_E100_2,4
GBM1a,16,10,r10,B20,r01,2,200,5,18,0.09,GBM1a_B20_2,5
GBM1a,16,10,r10,B100,r01,2,200,6,31,0.155,GBM1a_B100_2,6
GBM1a,16,10,r10,S20,r01,2,200,7,35,0.175,GBM1a_S20_2,7
GBM1a,16,10,r10,S100,r01,2,200,8,10,0.05,GBM1a_S100_2,8
GBM1a,16,10,r10,S100,r02,2,200,9,13,0.065,GBM1a_S100_2,8
GBM1a,16,10,r10,S20,r02,2,200,10,30,0.15,GBM1a_S20_2,7
GBM1a,16,10,r10,B100,r02,2,200,11,28,0.14,GBM1a_B100_2,6
GBM1a,16,10,r10,B20,r02,2,200,12,14,0.07,GBM1a_B20_2,5
GBM1a,16,10,r10,E100,r02,2,200,13,33,0.165,GBM1a_E100_2,4
GBM1a,16,10,r10,E20,r02,2,200,14,37,0.185,GBM1a_E20_2,3
GBM1a,16,10,r10,FBS,r02,2,200,15,37,0.185,GBM1a_FBS_2,2
GBM1a,16,10,r10,CTRL,r02,2,200,16,28,0.14,GBM1a_CTRL_2,1
GBM1a,16,10,r10,CTRL,r03,2,200,17,31,0.155,GBM1a_CTRL_2,1
GBM1a,16,10,r10,FBS,r03,2,200,18,33,0.165,GBM1a_FBS_2,2
GBM1a,16,10,r10,E20,r03,2,200,19,36,0.18,GBM1a_E20_2,3
GBM1a,16,10,r10,E100,r03,2,200,20,48,0.24,GBM1a_E100_2,4
GBM1a,16,10,r10,B20,r03,2,200,21,22,0.11,GBM1a_B20_2,5
GBM1a,16,10,r10,B100,r03,2,200,22,30,0.15,GBM1a_B100_2,6
GBM1a,16,10,r10,S20,r03,2,200,23,27,0.135,GBM1a_S20_2,7
GBM1a,16,10,r10,S100,r03,2,200,24,20,0.1,GBM1a_S100_2,8
GBM1a,16,10,r10,S100,r04,2,200,25,28,0.14,GBM1a_S100_2,8
GBM1a,16,10,r10,S20,r04,2,200,26,27,0.135,GBM1a_S20_2,7
GBM1a,16,10,r10,B100,r04,2,200,27,37,0.185,GBM1a_B100_2,6
GBM1a,16,10,r10,B20,r04,2,200,28,19,0.095,GBM1a_B20_2,5
GBM1a,16,10,r10,E100,r04,2,200,29,44,0.22,GBM1a_E100_2,4
GBM1a,16,10,r10,E20,r04,2,200,30,34,0.17,GBM1a_E20_2,3
GBM1a,16,10,r10,FBS,r04,2,200,31,41,0.205,GBM1a_FBS_2,2
GBM1a,16,10,r10,CTRL,r04,2,200,32,34,0.17,GBM1a_CTRL_2,1
GBM1a,16,10,r10,CTRL,r05,2,200,33,46,0.23,GBM1a_CTRL_2,1
GBM1a,16,10,r10,FBS,r05,2,200,34,39,0.195,GBM1a_FBS_2,2
GBM1a,16,10,r10,E20,r05,2,200,35,46,0.23,GBM1a_E20_2,3
GBM1a,16,10,r10,E100,r05,2,200,36,39,0.195,GBM1a_E100_2,4
GBM1a,16,10,r10,B20,r05,2,200,37,19,0.095,GBM1a_B20_2,5
GBM1a,16,10,r10,B100,r05,2,200,38,32,0.16,GBM1a_B100_2,6
GBM1a,16,10,r10,S20,r05,2,200,39,36,0.18,GBM1a_S20_2,7
GBM1a,16,10,r10,S100,r05,2,200,40,21,0.105,GBM1a_S100_2,8
GBM1a,16,10,r10,S100,r06,2,200,41,14,0.07,GBM1a_S100_2,8
GBM1a,16,10,r10,S20,r06,2,200,42,32,0.16,GBM1a_S20_2,7
GBM1a,16,10,r10,B100,r06,2,200,43,33,0.165,GBM1a_B100_2,6
GBM1a,16,10,r10,B20,r06,2,200,44,22,0.11,GBM1a_B20_2,5
GBM1a,16,10,r10,E100,r06,2,200,45,38,0.19,GBM1a_E100_2,4
GBM1a,16,10,r10,E20,r06,2,200,46,42,0.21,GBM1a_E20_2,3
GBM1a,16,10,r10,FBS,r06,2,200,47,53,0.265,GBM1a_FBS_2,2
GBM1a,16,10,r10,CTRL,r06,2,200,48,36,0.18,GBM1a_CTRL_2,1
GBM1a,19,11,r11,CTRL,r01,0,200,1,29,0.145,GBM1a_CTRL_0,1
GBM1a,19,11,r11,FBS,r01,0,200,2,44,0.22,GBM1a_FBS_0,2
GBM1a,19,11,r11,E20,r01,0,200,3,36,0.18,GBM1a_E20_0,3
GBM1a,19,11,r11,E100,r01,0,200,4,41,0.205,GBM1a_E100_0,4
GBM1a,19,11,r11,B20,r01,0,200,5,18,0.09,GBM1a_B20_0,5
GBM1a,19,11,r11,B100,r01,0,200,6,31,0.155,GBM1a_B100_0,6
GBM1a,19,11,r11,S20,r01,0,200,7,35,0.175,GBM1a_S20_0,7
GBM1a,19,11,r11,S100,r01,0,200,8,10,0.05,GBM1a_S100_0,8
GBM1a,19,11,r11,S100,r02,0,200,9,13,0.065,GBM1a_S100_0,8
GBM1a,19,11,r11,S20,r02,0,200,10,30,0.15,GBM1a_S20_0,7
GBM1a,19,11,r11,B100,r02,0,200,11,28,0.14,GBM1a_B100_0,6
GBM1a,19,11,r11,B20,r02,0,200,12,14,0.07,GBM1a_B20_0,5
GBM1a,19,11,r11,E100,r02,0,200,13,33,0.165,GBM1a_E100_0,4
GBM1a,19,11,r11,E20,r02,0,200,14,37,0.185,GBM1a_E20_0,3
GBM1a,19,11,r11,FBS,r02,0,200,15,37,0.185,GBM1a_FBS_0,2
GBM1a,19,11,r11,CTRL,r02,0,200,16,28,0.14,GBM1a_CTRL_0,1
GBM1a,19,11,r11,CTRL,r03,0,200,17,31,0.155,GBM1a_CTRL_0,1
GBM1a,19,11,r11,FBS,r03,0,200,18,33,0.165,GBM1a_FBS_0,2
GBM1a,19,11,r11,E20,r03,0,200,19,36,0.18,GBM1a_E20_0,3
GBM1a,19,11,r11,E100,r03,0,200,20,48,0.24,GBM1a_E100_0,4
GBM1a,19,11,r11,B20,r03,0,200,21,22,0.11,GBM1a_B20_0,5
GBM1a,19,11,r11,B100,r03,0,200,22,30,0.15,GBM1a_B100_0,6
GBM1a,19,11,r11,S20,r03,0,200,23,27,0.135,GBM1a_S20_0,7
GBM1a,19,11,r11,S100,r03,0,200,24,20,0.1,GBM1a_S100_0,8
GBM1a,19,11,r11,S100,r04,0,200,25,28,0.14,GBM1a_S100_0,8
GBM1a,19,11,r11,S20,r04,0,200,26,27,0.135,GBM1a_S20_0,7
GBM1a,19,11,r11,B100,r04,0,200,27,37,0.185,GBM1a_B100_0,6
GBM1a,19,11,r11,B20,r04,0,200,28,19,0.095,GBM1a_B20_0,5
GBM1a,19,11,r11,E100,r04,0,200,29,44,0.22,GBM1a_E100_0,4
GBM1a,19,11,r11,E20,r04,0,200,30,34,0.17,GBM1a_E20_0,3
GBM1a,19,11,r11,FBS,r04,0,200,31,41,0.205,GBM1a_FBS_0,2
GBM1a,19,11,r11,CTRL,r04,0,200,32,34,0.17,GBM1a_CTRL_0,1
GBM1a,19,11,r11,CTRL,r05,0,200,33,46,0.23,GBM1a_CTRL_0,1
GBM1a,19,11,r11,FBS,r05,0,200,34,39,0.195,GBM1a_FBS_0,2
GBM1a,19,11,r11,E20,r05,0,200,35,46,0.23,GBM1a_E20_0,3
GBM1a,19,11,r11,E100,r05,0,200,36,39,0.195,GBM1a_E100_0,4
GBM1a,19,11,r11,B20,r05,0,200,37,19,0.095,GBM1a_B20_0,5
GBM1a,19,11,r11,B100,r05,0,200,38,32,0.16,GBM1a_B100_0,6
GBM1a,19,11,r11,S20,r05,0,200,39,36,0.18,GBM1a_S20_0,7
GBM1a,19,11,r11,S100,r05,0,200,40,21,0.105,GBM1a_S100_0,8
GBM1a,19,11,r11,S100,r06,0,200,41,14,0.07,GBM1a_S100_0,8
GBM1a,19,11,r11,S20,r06,0,200,42,32,0.16,GBM1a_S20_0,7
GBM1a,19,11,r11,B100,r06,0,200,43,33,0.165,GBM1a_B100_0,6
GBM1a,19,11,r11,B20,r06,0,200,44,22,0.11,GBM1a_B20_0,5
GBM1a,19,11,r11,E100,r06,0,200,45,38,0.19,GBM1a_E100_0,4
GBM1a,19,11,r11,E20,r06,0,200,46,42,0.21,GBM1a_E20_0,3
GBM1a,19,11,r11,FBS,r06,0,200,47,53,0.265,GBM1a_FBS_0,2
GBM1a,19,11,r11,CTRL,r06,0,200,48,36,0.18,GBM1a_CTRL_0,1
GBM1a,19,11,r11,CTRL,r01,2,200,1,0,0,GBM1a_CTRL_2,1
GBM1a,19,11,r11,FBS,r01,2,200,2,1,0.005,GBM1a_FBS_2,2
GBM1a,19,11,r11,E20,r01,2,200,3,1,0.005,GBM1a_E20_2,3
GBM1a,19,11,r11,E100,r01,2,200,4,5,0.025,GBM1a_E100_2,4
GBM1a,19,11,r11,B20,r01,2,200,5,2,0.01,GBM1a_B20_2,5
GBM1a,19,11,r11,B100,r01,2,200,6,1,0.005,GBM1a_B100_2,6
GBM1a,19,11,r11,S20,r01,2,200,7,5,0.025,GBM1a_S20_2,7
GBM1a,19,11,r11,S100,r01,2,200,8,2,0.01,GBM1a_S100_2,8
GBM1a,19,11,r11,S100,r02,2,200,9,6,0.03,GBM1a_S100_2,8
GBM1a,19,11,r11,S20,r02,2,200,10,2,0.01,GBM1a_S20_2,7
GBM1a,19,11,r11,B100,r02,2,200,11,1,0.005,GBM1a_B100_2,6
GBM1a,19,11,r11,B20,r02,2,200,12,6,0.03,GBM1a_B20_2,5
GBM1a,19,11,r11,E100,r02,2,200,13,2,0.01,GBM1a_E100_2,4
GBM1a,19,11,r11,E20,r02,2,200,14,2,0.01,GBM1a_E20_2,3
GBM1a,19,11,r11,FBS,r02,2,200,15,4,0.02,GBM1a_FBS_2,2
GBM1a,19,11,r11,CTRL,r02,2,200,16,3,0.015,GBM1a_CTRL_2,1
GBM1a,19,11,r11,CTRL,r03,2,200,17,4,0.02,GBM1a_CTRL_2,1
GBM1a,19,11,r11,FBS,r03,2,200,18,1,0.005,GBM1a_FBS_2,2
GBM1a,19,11,r11,E20,r03,2,200,19,5,0.025,GBM1a_E20_2,3
GBM1a,19,11,r11,E100,r03,2,200,20,5,0.025,GBM1a_E100_2,4
GBM1a,19,11,r11,B20,r03,2,200,21,6,0.03,GBM1a_B20_2,5
GBM1a,19,11,r11,B100,r03,2,200,22,4,0.02,GBM1a_B100_2,6
GBM1a,19,11,r11,S20,r03,2,200,23,2,0.01,GBM1a_S20_2,7
GBM1a,19,11,r11,S100,r03,2,200,24,2,0.01,GBM1a_S100_2,8
GBM1a,19,11,r11,S100,r04,2,200,25,3,0.015,GBM1a_S100_2,8
GBM1a,19,11,r11,S20,r04,2,200,26,4,0.02,GBM1a_S20_2,7
GBM1a,19,11,r11,B100,r04,2,200,27,1,0.005,GBM1a_B100_2,6
GBM1a,19,11,r11,B20,r04,2,200,28,3,0.015,GBM1a_B20_2,5
GBM1a,19,11,r11,E100,r04,2,200,29,2,0.01,GBM1a_E100_2,4
GBM1a,19,11,r11,E20,r04,2,200,30,3,0.015,GBM1a_E20_2,3
GBM1a,19,11,r11,FBS,r04,2,200,31,4,0.02,GBM1a_FBS_2,2
GBM1a,19,11,r11,CTRL,r04,2,200,32,7,0.035,GBM1a_CTRL_2,1
GBM1a,19,11,r11,CTRL,r05,2,200,33,3,0.015,GBM1a_CTRL_2,1
GBM1a,19,11,r11,FBS,r05,2,200,34,1,0.005,GBM1a_FBS_2,2
GBM1a,19,11,r11,E20,r05,2,200,35,0,0,GBM1a_E20_2,3
GBM1a,19,11,r11,E100,r05,2,200,36,5,0.025,GBM1a_E100_2,4
GBM1a,19,11,r11,B20,r05,2,200,37,1,0.005,GBM1a_B20_2,5
GBM1a,19,11,r11,B100,r05,2,200,38,2,0.01,GBM1a_B100_2,6
GBM1a,19,11,r11,S20,r05,2,200,39,5,0.025,GBM1a_S20_2,7
GBM1a,19,11,r11,S100,r05,2,200,40,6,0.03,GBM1a_S100_2,8
GBM1a,19,11,r11,S100,r06,2,200,41,4,0.02,GBM1a_S100_2,8
GBM1a,19,11,r11,S20,r06,2,200,42,4,0.02,GBM1a_S20_2,7
GBM1a,19,11,r11,B100,r06,2,200,43,2,0.01,GBM1a_B100_2,6
GBM1a,19,11,r11,B20,r06,2,200,44,2,0.01,GBM1a_B20_2,5
GBM1a,19,11,r11,E100,r06,2,200,45,3,0.015,GBM1a_E100_2,4
GBM1a,19,11,r11,E20,r06,2,200,46,2,0.01,GBM1a_E20_2,3
GBM1a,19,11,r11,FBS,r06,2,200,47,5,0.025,GBM1a_FBS_2,2
GBM1a,17,13,r13,CTRL,r01,0,200,1,11,0.055,GBM1a_CTRL_0,1
GBM1a,17,13,r13,FBS,r01,0,200,2,47,0.235,GBM1a_FBS_0,2
GBM1a,17,13,r13,E20,r01,0,200,3,6,0.03,GBM1a_E20_0,3
GBM1a,17,13,r13,E100,r01,0,200,4,10,0.05,GBM1a_E100_0,4
GBM1a,17,13,r13,B20,r01,0,200,5,8,0.04,GBM1a_B20_0,5
GBM1a,17,13,r13,B100,r01,0,200,6,4,0.02,GBM1a_B100_0,6
GBM1a,17,13,r13,S20,r01,0,200,7,5,0.025,GBM1a_S20_0,7
GBM1a,17,13,r13,S100,r01,0,200,8,4,0.02,GBM1a_S100_0,8
GBM1a,17,13,r13,S100,r02,0,200,9,7,0.035,GBM1a_S100_0,8
GBM1a,17,13,r13,S20,r02,0,200,10,6,0.03,GBM1a_S20_0,7
GBM1a,17,13,r13,B100,r02,0,200,11,9,0.045,GBM1a_B100_0,6
GBM1a,17,13,r13,B20,r02,0,200,12,9,0.045,GBM1a_B20_0,5
GBM1a,17,13,r13,E100,r02,0,200,13,8,0.04,GBM1a_E100_0,4
GBM1a,17,13,r13,E20,r02,0,200,14,10,0.05,GBM1a_E20_0,3
GBM1a,17,13,r13,FBS,r02,0,200,15,44,0.22,GBM1a_FBS_0,2
GBM1a,17,13,r13,CTRL,r02,0,200,16,8,0.04,GBM1a_CTRL_0,1
GBM1a,17,13,r13,CTRL,r03,0,200,17,12,0.06,GBM1a_CTRL_0,1
GBM1a,17,13,r13,FBS,r03,0,200,18,44,0.22,GBM1a_FBS_0,2
GBM1a,17,13,r13,E20,r03,0,200,19,7,0.035,GBM1a_E20_0,3
GBM1a,17,13,r13,E100,r03,0,200,20,8,0.04,GBM1a_E100_0,4
GBM1a,17,13,r13,B20,r03,0,200,21,8,0.04,GBM1a_B20_0,5
GBM1a,17,13,r13,B100,r03,0,200,22,7,0.035,GBM1a_B100_0,6
GBM1a,17,13,r13,S20,r03,0,200,23,9,0.045,GBM1a_S20_0,7
GBM1a,17,13,r13,S100,r03,0,200,24,6,0.03,GBM1a_S100_0,8
GBM1a,17,13,r13,S100,r04,0,200,25,5,0.025,GBM1a_S100_0,8
GBM1a,17,13,r13,S20,r04,0,200,26,11,0.055,GBM1a_S20_0,7
GBM1a,17,13,r13,B100,r04,0,200,27,8,0.04,GBM1a_B100_0,6
GBM1a,17,13,r13,B20,r04,0,200,28,9,0.045,GBM1a_B20_0,5
GBM1a,17,13,r13,E100,r04,0,200,29,8,0.04,GBM1a_E100_0,4
GBM1a,17,13,r13,E20,r04,0,200,30,8,0.04,GBM1a_E20_0,3
GBM1a,17,13,r13,FBS,r04,0,200,31,45,0.225,GBM1a_FBS_0,2
GBM1a,17,13,r13,CTRL,r04,0,200,32,7,0.035,GBM1a_CTRL_0,1
GBM1a,17,13,r13,CTRL,r05,0,200,33,8,0.04,GBM1a_CTRL_0,1
GBM1a,17,13,r13,FBS,r05,0,200,34,49,0.245,GBM1a_FBS_0,2
GBM1a,17,13,r13,E20,r05,0,200,35,8,0.04,GBM1a_E20_0,3
GBM1a,17,13,r13,E100,r05,0,200,36,5,0.025,GBM1a_E100_0,4
GBM1a,17,13,r13,B20,r05,0,200,37,6,0.03,GBM1a_B20_0,5
GBM1a,17,13,r13,B100,r05,0,200,38,5,0.025,GBM1a_B100_0,6
GBM1a,17,13,r13,S20,r05,0,200,39,8,0.04,GBM1a_S20_0,7
GBM1a,17,13,r13,S100,r05,0,200,40,8,0.04,GBM1a_S100_0,8
GBM1a,17,13,r13,S100,r06,0,200,41,10,0.05,GBM1a_S100_0,8
GBM1a,17,13,r13,S20,r06,0,200,42,8,0.04,GBM1a_S20_0,7
GBM1a,17,13,r13,B100,r06,0,200,43,6,0.03,GBM1a_B100_0,6
GBM1a,17,13,r13,B20,r06,0,200,44,13,0.065,GBM1a_B20_0,5
GBM1a,17,13,r13,E100,r06,0,200,45,10,0.05,GBM1a_E100_0,4
GBM1a,17,13,r13,E20,r06,0,200,46,7,0.035,GBM1a_E20_0,3
GBM1a,17,13,r13,FBS,r06,0,200,47,59,0.295,GBM1a_FBS_0,2
GBM1a,17,13,r13,CTRL,r06,0,200,48,11,0.055,GBM1a_CTRL_0,1
GBM1a,17,13,r13,CTRL,r01,2,200,1,13,0.065,GBM1a_CTRL_2,1
GBM1a,17,13,r13,FBS,r01,2,200,2,54,0.27,GBM1a_FBS_2,2
GBM1a,17,13,r13,E20,r01,2,200,3,9,0.045,GBM1a_E20_2,3
GBM1a,17,13,r13,E100,r01,2,200,4,10,0.05,GBM1a_E100_2,4
GBM1a,17,13,r13,B20,r01,2,200,5,10,0.05,GBM1a_B20_2,5
GBM1a,17,13,r13,B100,r01,2,200,6,6,0.03,GBM1a_B100_2,6
GBM1a,17,13,r13,S20,r01,2,200,7,8,0.04,GBM1a_S20_2,7
GBM1a,17,13,r13,S100,r01,2,200,8,6,0.03,GBM1a_S100_2,8
GBM1a,17,13,r13,S100,r02,2,200,9,6,0.03,GBM1a_S100_2,8
GBM1a,17,13,r13,S20,r02,2,200,10,6,0.03,GBM1a_S20_2,7
GBM1a,17,13,r13,B100,r02,2,200,11,4,0.02,GBM1a_B100_2,6
